KEY,KEY_new
 AA11,usage_category
 AA12,useless_1
 a,address
 b,property_type
 bn,community_name
 bs,main_building_ratio
 city,city
 commid,useless_2
 cp,parking_space_price
 e,transaction_date
 el,elevator_available
 es,useless_3
 f,floor_height
 fi,useless_4
 g,building_age
 id,useless_5
 j,number_of_land
 k,number_of_building
 l,number_of_parking_space
 lat,latitude
 lon,longitude
 m,management_org_available
 mark,useless_6
 msg,per_ping_calculation_method
 note,note
 p,price_per_ping
 pimg,image_file
 pu,detailed_usage_classification
 punit,useless_7
 r,useless_8
 reid,useless_9
 s,total_area_ping
 sq,useless_10
 t,property_b_l_p_type
 town,district
 tp,total_price
 tunit,useless_11
 type,useless_12
 unit,useless_13
 v,building_layout
